iso3,entity_name,region_id,region_name,start_year,end_year,internet_start,internet_end,fertility_start,fertility_end,delta_internet,delta_fertility,movement_quadrant
MWI,Malawi,SSF,Sub-Saharan Africa,2000,2024,0.126780944756387,18.96159935,6.002,3.59,18.834818405243613,-2.412,right_down
MYS,Malaysia,EAS,East Asia & Pacific,2000,2024,21.3847311644538,98.0206059,2.942,1.543,76.63587473554621,-1.3990000000000002,right_down
NAM,Namibia,SSF,Sub-Saharan Africa,2000,2024,1.64473954726899,64.87460327,3.991,3.211,63.229863722731004,-0.7800000000000002,right_down
NER,Niger,SSF,Sub-Saharan Africa,2000,2024,0.0362612938065891,15.55760002,7.829,5.935,15.521338726193411,-1.8940000000000001,right_down
NGA,Nigeria,SSF,Sub-Saharan Africa,2000,2024,0.0640808079494101,41.21139908,6.124,4.382,41.14731827205059,-1.742,right_down
NIC,Nicaragua,LCN,Latin America & Caribbean,2000,2024,0.980216486692385,61.39550018,3.12,2.206,60.415283693307614,-0.9140000000000001,right_down
NLD,Netherlands,ECS,Europe & Central Asia,2000,2024,43.984351373138,97.00679779,1.72,1.43,53.022446416861996,-0.29000000000000004,right_down
NOR,Norway,ECS,Europe & Central Asia,2000,2024,52.0,99.0,1.85,1.45,47.0,-0.40000000000000013,right_down
NPL,Nepal,SAS,South Asia,2000,2024,0.204651683653029,46.32189941,3.984,1.961,46.117247726346974,-2.0229999999999997,right_down
NZL,New Zealand,EAS,East Asia & Pacific,2000,2024,47.3795565432096,93.51930237,1.98,1.57,46.1397458267904,-0.4099999999999999,right_down
OMN,Oman,MEA,"Middle East, North Africa, Afghanistan & Pakistan",2000,2024,3.52042141651097,95.25174678,3.852,2.508,91.73132536348903,-1.3439999999999999,right_down
PAN,Panama,LCN,Latin America & Caribbean,2000,2024,6.55479647729549,72.77149963,2.744,2.106,66.2167031527045,-0.6380000000000003,right_down
PER,Peru,LCN,Latin America & Caribbean,2000,2024,3.07643061137675,81.95705992,2.845,1.965,78.88062930862326,-0.8800000000000001,right_down
PHL,Philippines,EAS,East Asia & Pacific,2000,2024,1.98225319605827,67.26300914,3.754,1.894,65.28075594394173,-1.86,right_down
PNG,Papua New Guinea,EAS,East Asia & Pacific,2000,2024,0.835249302427624,18.81159973,4.525,3.072,17.976350427572378,-1.4530000000000003,right_down
POL,Poland,ECS,Europe & Central Asia,2000,2024,7.2854287080601,88.58496367,1.37,1.14,81.2995349619399,-0.2300000000000002,right_down
PRT,Portugal,ECS,Europe & Central Asia,2000,2024,16.4304676923534,88.48704454,1.55,1.41,72.0565768476466,-0.14000000000000012,right_down
PRY,Paraguay,LCN,Latin America & Caribbean,2000,2024,0.747630711548184,81.57806793,3.508,2.416,80.83043721845182,-1.092,right_down
QAT,Qatar,MEA,"Middle East, North Africa, Afghanistan & Pakistan",2000,2024,4.86367917875156,98.08540344,3.073,1.717,93.22172426124844,-1.3559999999999999,right_down
ROU,Romania,ECS,Europe & Central Asia,2000,2024,3.61371729139783,91.29048551,1.31,1.39,87.67676821860216,0.07999999999999985,right_up
RUS,Russian Federation,ECS,Europe & Central Asia,2000,2024,1.97723010897647,94.36495368,1.195,1.418,92.38772357102353,0.22299999999999986,right_up
RWA,Rwanda,SSF,Sub-Saharan Africa,2000,2024,0.0628314595107164,31.70330048,5.967,3.645,31.640469020489284,-2.3219999999999996,right_down
SAU,Saudi Arabia,MEA,"Middle East, North Africa, Afghanistan & Pakistan",2000,2024,2.21069180908888,100.0,4.206,2.308,97.78930819091111,-1.8980000000000006,right_down
SEN,Senegal,SSF,Sub-Saharan Africa,2000,2024,0.403967485868965,60.11780167,5.498,3.765,59.71383418413103,-1.733,right_down
SGP,Singapore,EAS,East Asia & Pacific,2000,2024,36.0,94.37757178,1.6,0.97,58.37757178,-0.6300000000000001,right_down
SLB,Solomon Islands,EAS,East Asia & Pacific,2000,2024,0.481296806114395,29.04070091,4.757,3.513,28.55940410388561,-1.2439999999999998,right_down
SLE,Sierra Leone,SSF,Sub-Saharan Africa,2000,2024,0.118254245682183,25.10499954,6.355,3.703,24.986745294317817,-2.6520000000000006,right_down
SLV,El Salvador,LCN,Latin America & Caribbean,2000,2024,1.17739726914477,66.47769928,3.076,1.768,65.30030201085522,-1.308,right_down
SMR,San Marino,ECS,Europe & Central Asia,2000,2024,48.7994953055999,97.35220337,1.404,1.158,48.5527080644001,-0.246,right_down
SOM,"Somalia, Fed. Rep.",SSF,Sub-Saharan Africa,2000,2024,0.02,27.94020081,7.645,6.013,27.92020081,-1.6319999999999997,right_down
STP,Sao Tome and Principe,SSF,Sub-Saharan Africa,2000,2024,4.6385168164075,59.11759949,5.157,3.596,54.4790826735925,-1.561,right_down
SVK,Slovak Republic,ECS,Europe & Central Asia,2000,2024,9.42680320061637,89.82507032,1.3,1.46,80.39826711938363,0.15999999999999992,right_up
SVN,Slovenia,ECS,Europe & Central Asia,2000,2024,15.1102595640388,90.76355487,1.26,1.52,75.6532953059612,0.26,right_up
SWE,Sweden,ECS,Europe & Central Asia,2000,2024,45.6876522122282,95.52930428,1.54,1.43,49.841652067771804,-0.1100000000000001,right_down
SWZ,Eswatini,SSF,Sub-Saharan Africa,2000,2024,0.926191777269401,63.40309906,4.03,2.718,62.4769072827306,-1.3120000000000003,right_down
SYC,Seychelles,SSF,Sub-Saharan Africa,2000,2024,7.39562918315276,87.81800079,2.08,1.85,80.42237160684724,-0.22999999999999998,right_down
TCD,Chad,SSF,Sub-Saharan Africa,2000,2024,0.03570707628555,12.62689972,7.249,6.028,12.59119264371445,-1.221,right_down
TGO,Togo,SSF,Sub-Saharan Africa,2000,2024,0.8,39.48320007,5.1652,4.121673,38.683200070000005,-1.0435269999999992,right_down
THA,Thailand,EAS,East Asia & Pacific,2000,2024,3.68904127944164,90.86718789,1.734,1.204,87.17814661055836,-0.53,right_down
TJK,Tajikistan,ECS,Europe & Central Asia,2000,2024,0.048599594582182,55.79339981,3.49,3.036,55.74480021541781,-0.4540000000000002,right_down
TON,Tonga,EAS,East Asia & Pacific,2000,2024,2.4343980443669,67.4417038,4.159,3.1,65.0073057556331,-1.0589999999999997,right_down
TTO,Trinidad and Tobago,LCN,Latin America & Caribbean,2000,2024,7.72141147401745,82.15989685,1.732,1.536,74.43848537598255,-0.19599999999999995,right_down
TUN,Tunisia,MEA,"Middle East, North Africa, Afghanistan & Pakistan",2000,2024,2.75074029298135,76.5,2.025,1.818,73.74925970701865,-0.20699999999999985,right_down
TUR,Turkiye,ECS,Europe & Central Asia,2000,2024,3.761685035075,87.3078767,2.487,1.48,83.54619166492499,-1.0070000000000001,right_down
TZA,Tanzania,SSF,Sub-Saharan Africa,2000,2024,0.11719444010825,31.16209984,5.67,4.541,31.04490539989175,-1.1289999999999996,right_down
UGA,Uganda,SSF,Sub-Saharan Africa,2000,2024,0.163714063074854,8.949831061,6.788,4.165,8.786116997925145,-2.623,right_down
UKR,Ukraine,ECS,Europe & Central Asia,2000,2024,0.716183762031043,82.47489929,1.108,0.988,81.75871552796896,-0.1200000000000001,right_down
URY,Uruguay,LCN,Latin America & Caribbean,2000,2024,10.5390577480141,91.99109007,2.196,1.397,81.4520323219859,-0.7990000000000002,right_down
USA,United States,NAC,North America,2000,2024,43.0791626375201,94.69380188,2.056,1.6265,51.614639242479896,-0.4295,right_down
UZB,Uzbekistan,ECS,Europe & Central Asia,2000,2024,0.484347307694947,89.50550079,2.696,3.486,89.02115348230505,0.79,right_up
VCT,St. Vincent and the Grenadines,LCN,Latin America & Caribbean,2000,2024,3.24503741064558,76.19010162,2.306,1.761,72.94506420935441,-0.5450000000000002,right_down
VEN,"Venezuela, RB",LCN,Latin America & Caribbean,2000,2024,3.3595974645036,76.67890167,2.79,2.077,73.31930420549641,-0.7130000000000001,right_down
VNM,Viet Nam,EAS,East Asia & Pacific,2000,2024,0.254248275754934,84.15,2.028,1.895,83.89575172424507,-0.133,right_down
ZAF,South Africa,SSF,Sub-Saharan Africa,2000,2024,5.34855973203537,78.35759735,2.413,2.205,73.00903761796464,-0.20799999999999974,right_down
ZMB,Zambia,SSF,Sub-Saharan Africa,2000,2024,0.191071642503428,17.10099983,5.921,4.036,16.909928187496572,-1.8850000000000007,right_down
ZWE,Zimbabwe,SSF,Sub-Saharan Africa,2000,2024,0.401433535211582,41.64279938,4.009,3.674,41.24136584478842,-0.3350000000000004,right_down
