region_code,region,source_region_name,year,infant_mortality_per_1000
SSF,Sub-Saharan Africa,Sub-Saharan Africa,2016,53.5
SAS,South Asia,South Asia,2016,33.5
MEA,"Middle East, North Africa, Afghanistan & Pakistan","Middle East, North Africa, Afghanistan & Pakistan",2016,38.6
EAS,East Asia & Pacific,East Asia & Pacific,2016,12.6
LCN,Latin America & Caribbean,Latin America & Caribbean,2016,15.9
ECS,Europe & Central Asia,Europe & Central Asia,2016,7.7
NAC,North America,North America,2016,5.6
SSF,Sub-Saharan Africa,Sub-Saharan Africa,2017,53.0
SAS,South Asia,South Asia,2017,31.9
MEA,"Middle East, North Africa, Afghanistan & Pakistan","Middle East, North Africa, Afghanistan & Pakistan",2017,37.7
EAS,East Asia & Pacific,East Asia & Pacific,2017,11.9
LCN,Latin America & Caribbean,Latin America & Caribbean,2017,15.3
ECS,Europe & Central Asia,Europe & Central Asia,2017,7.4
NAC,North America,North America,2017,5.5
SSF,Sub-Saharan Africa,Sub-Saharan Africa,2018,51.1
SAS,South Asia,South Asia,2018,30.3
MEA,"Middle East, North Africa, Afghanistan & Pakistan","Middle East, North Africa, Afghanistan & Pakistan",2018,37.2
EAS,East Asia & Pacific,East Asia & Pacific,2018,11.9
LCN,Latin America & Caribbean,Latin America & Caribbean,2018,14.9
ECS,Europe & Central Asia,Europe & Central Asia,2018,7.3
NAC,North America,North America,2018,5.5
SSF,Sub-Saharan Africa,Sub-Saharan Africa,2019,50.5
SAS,South Asia,South Asia,2019,28.9
MEA,"Middle East, North Africa, Afghanistan & Pakistan","Middle East, North Africa, Afghanistan & Pakistan",2019,36.5
EAS,East Asia & Pacific,East Asia & Pacific,2019,11.5
LCN,Latin America & Caribbean,Latin America & Caribbean,2019,14.6
ECS,Europe & Central Asia,Europe & Central Asia,2019,7.1
NAC,North America,North America,2019,5.4
SSF,Sub-Saharan Africa,Sub-Saharan Africa,2020,49.6
SAS,South Asia,South Asia,2020,27.6
MEA,"Middle East, North Africa, Afghanistan & Pakistan","Middle East, North Africa, Afghanistan & Pakistan",2020,35.7
EAS,East Asia & Pacific,East Asia & Pacific,2020,11.6
LCN,Latin America & Caribbean,Latin America & Caribbean,2020,14.4
ECS,Europe & Central Asia,Europe & Central Asia,2020,7.0
NAC,North America,North America,2020,5.4
SSF,Sub-Saharan Africa,Sub-Saharan Africa,2021,50.4
SAS,South Asia,South Asia,2021,26.3
MEA,"Middle East, North Africa, Afghanistan & Pakistan","Middle East, North Africa, Afghanistan & Pakistan",2021,35.0
EAS,East Asia & Pacific,East Asia & Pacific,2021,11.5
LCN,Latin America & Caribbean,Latin America & Caribbean,2021,14.1
ECS,Europe & Central Asia,Europe & Central Asia,2021,6.9
NAC,North America,North America,2021,5.4
SSF,Sub-Saharan Africa,Sub-Saharan Africa,2022,50.8
SAS,South Asia,South Asia,2022,25.2
MEA,"Middle East, North Africa, Afghanistan & Pakistan","Middle East, North Africa, Afghanistan & Pakistan",2022,34.0
EAS,East Asia & Pacific,East Asia & Pacific,2022,11.4
LCN,Latin America & Caribbean,Latin America & Caribbean,2022,13.9
ECS,Europe & Central Asia,Europe & Central Asia,2022,6.8
NAC,North America,North America,2022,5.4
SSF,Sub-Saharan Africa,Sub-Saharan Africa,2023,48.2
SAS,South Asia,South Asia,2023,24.2
MEA,"Middle East, North Africa, Afghanistan & Pakistan","Middle East, North Africa, Afghanistan & Pakistan",2023,33.0
EAS,East Asia & Pacific,East Asia & Pacific,2023,11.1
LCN,Latin America & Caribbean,Latin America & Caribbean,2023,13.6
ECS,Europe & Central Asia,Europe & Central Asia,2023,6.9
NAC,North America,North America,2023,5.4
SSF,Sub-Saharan Africa,Sub-Saharan Africa,2024,47.1
SAS,South Asia,South Asia,2024,23.2
MEA,"Middle East, North Africa, Afghanistan & Pakistan","Middle East, North Africa, Afghanistan & Pakistan",2024,32.0
EAS,East Asia & Pacific,East Asia & Pacific,2024,10.7
LCN,Latin America & Caribbean,Latin America & Caribbean,2024,13.3
ECS,Europe & Central Asia,Europe & Central Asia,2024,6.6
NAC,North America,North America,2024,5.4
