year,classification_scenario,country_democracy_n,country_denominator_n,country_democracy_share,observed_democracy_population,observed_population_denominator,observed_democracy_share,gap_observed_pp,gap_lower_pp,gap_upper_pp,gap_observed_sign,gap_lower_sign,gap_upper_sign,common_matched_democracy_n,common_matched_unit_n,common_matched_unit_share,common_matched_gap_pp,world_population_reference,reference_missing_mass,population_coverage_rate,input_panel_sha256,method_contract_sha256
2015,Q2_boundary_autocracy,81,179,0.45251396648044692737430167597765363128491620111732,2082640676.0,7356234953.0,0.28311231075492811274811385160497877316779607216007,-16.940165572551881462618782437267485811712012895725,-17.262995224146978079880004338108016590784772637893,-16.122706938080360441557711396177493864315486994541,negative,negative,negative,79,171,0.46198830409356725146198830409356725146198830409357,-17.887599333863913871387445248858847829419223193350,7441084771,84849818.0,0.98859711713933382361677707058069477273530714356647,9b731512a9848138113cd2c395175fe8196fb41d7758cd8b88cf7e87e1175c00,a0801177c4565d233b5ce9b7fa147b8dc643a5df08c3f4dcf359d488736f6c57
2015,Q3_boundary_democracy,101,179,0.56424581005586592178770949720670391061452513966480,3975674179.0,7356234953.0,0.54044959199932177587694295603883221971907019376030,-2.3796218056544145910766541167871690895454945904500,-2.9958901446207240075050911503299618622217181048750,-1.8556018585541063691827982083994391357524324615220,negative,negative,negative,99,171,0.57894736842105263157894736842105263157894736842105,-3.8497776421730855702004412382220411859877174660750,7441084771,84849818.0,0.98859711713933382361677707058069477273530714356647,9b731512a9848138113cd2c395175fe8196fb41d7758cd8b88cf7e87e1175c00,a0801177c4565d233b5ce9b7fa147b8dc643a5df08c3f4dcf359d488736f6c57
2016,Q0_three_state,81,179,0.45251396648044692737430167597765363128491620111732,2115515013.0,7442042426.0,0.28426537930086237323474242714563100234602183118487,-16.824858717958455413955924883202262893889436993245,-17.150270893441023678767355356436141753298088497431,-16.005523065608789783782527625716660495585230202722,negative,negative,negative,79,171,0.46198830409356725146198830409356725146198830409357,-17.772292479270487822724587694793624911596647290870,7528221579,86179153.0,0.98855252172167766105015172269280518742287141705291,9b731512a9848138113cd2c395175fe8196fb41d7758cd8b88cf7e87e1175c00,a0801177c4565d233b5ce9b7fa147b8dc643a5df08c3f4dcf359d488736f6c57
2016,Q1_midpoint_binary,95,179,0.53072625698324022346368715083798882681564245810056,3821722766.0,7442042426.0,0.51353144032721213083823395015942361412170750771799,-1.7194816656028092625453200678565212693934950382570,-2.3073456664409437890711124596612437062595844168000,-1.1625978386087098940862847289417624485467261220900,negative,negative,negative,93,171,0.54385964912280701754385964912280701754385964912281,-3.0328208795594886705625698963383403422152141404820,7528221579,86179153.0,0.98855252172167766105015172269280518742287141705291,9b731512a9848138113cd2c395175fe8196fb41d7758cd8b88cf7e87e1175c00,a0801177c4565d233b5ce9b7fa147b8dc643a5df08c3f4dcf359d488736f6c57
2016,Q2_boundary_autocracy,81,179,0.45251396648044692737430167597765363128491620111732,2115515013.0,7442042426.0,0.28426537930086237323474242714563100234602183118487,-16.824858717958455413955924883202262893889436993245,-17.150270893441023678767355356436141753298088497431,-16.005523065608789783782527625716660495585230202722,negative,negative,negative,79,171,0.46198830409356725146198830409356725146198830409357,-17.772292479270487822724587694793624911596647290870,7528221579,86179153.0,0.98855252172167766105015172269280518742287141705291,9b731512a9848138113cd2c395175fe8196fb41d7758cd8b88cf7e87e1175c00,a0801177c4565d233b5ce9b7fa147b8dc643a5df08c3f4dcf359d488736f6c57
2016,Q3_boundary_democracy,101,179,0.56424581005586592178770949720670391061452513966480,3971271452.0,7442042426.0,0.53362655366297155264295989919152336743208993901535,-3.0619256392894369144749598015180543182435200649450,-3.6727934774687245949480692597285280217434910766800,-2.5280456496364906999632415290090467640306327819700,negative,negative,negative,99,171,0.57894736842105263157894736842105263157894736842105,-4.5320814758081078935987469229529264146857429405700,7528221579,86179153.0,0.98855252172167766105015172269280518742287141705291,9b731512a9848138113cd2c395175fe8196fb41d7758cd8b88cf7e87e1175c00,a0801177c4565d233b5ce9b7fa147b8dc643a5df08c3f4dcf359d488736f6c57
2017,Q0_three_state,79,179,0.44134078212290502793296089385474860335195530726257,2109390168.0,7526078226.0,0.28027747050419775958358474813971459243772149439256,-16.106331161870726834937614571503401091423381287001,-16.429209275394591542131999908919774633253361437083,-15.277214743179670217920381113992769925109147786068,negative,negative,negative,77,171,0.45029239766081871345029239766081871345029239766082,-17.001492715662095386670764952110412101257090326826,7613788655,87710429.0,0.98848005467785078675788381205072995291855786348984,9b731512a9848138113cd2c395175fe8196fb41d7758cd8b88cf7e87e1175c00,a0801177c4565d233b5ce9b7fa147b8dc643a5df08c3f4dcf359d488736f6c57
2017,Q1_midpoint_binary,93,179,0.51955307262569832402234636871508379888268156424581,2453086631.0,7526078226.0,0.32594487558280131009629503152071010642189942074089,-19.360819704289701392605133719437369246078214350492,-19.736306418764561319358748980186290123747368054996,-18.584311886549639995147130185259285415603154403981,negative,negative,negative,91,171,0.53216374269005847953216374269005847953216374269006,-20.621886710725716943586871116934837311026432194917,7613788655,87710429.0,0.98848005467785078675788381205072995291855786348984,9b731512a9848138113cd2c395175fe8196fb41d7758cd8b88cf7e87e1175c00,a0801177c4565d233b5ce9b7fa147b8dc643a5df08c3f4dcf359d488736f6c57
2017,Q2_boundary_autocracy,79,179,0.44134078212290502793296089385474860335195530726257,2109390168.0,7526078226.0,0.28027747050419775958358474813971459243772149439256,-16.106331161870726834937614571503401091423381287001,-16.429209275394591542131999908919774633253361437083,-15.277214743179670217920381113992769925109147786068,negative,negative,negative,77,171,0.45029239766081871345029239766081871345029239766082,-17.001492715662095386670764952110412101257090326826,7613788655,87710429.0,0.98848005467785078675788381205072995291855786348984,9b731512a9848138113cd2c395175fe8196fb41d7758cd8b88cf7e87e1175c00,a0801177c4565d233b5ce9b7fa147b8dc643a5df08c3f4dcf359d488736f6c57
2017,Q3_boundary_democracy,101,179,0.56424581005586592178770949720670391061452513966480,4007855236.0,7526078226.0,0.53252904310165749797243736488369580228702767671711,-3.1716766954208423815272132323008108327497462947690,-3.7851472413195959864528166137828844762043843019190,-2.6331527091046746622411978188558797680601706509040,negative,negative,negative,99,171,0.57894736842105263157894736842105263157894736842105,-4.6418325319395133606510003537356829291919691703940,7613788655,87710429.0,0.98848005467785078675788381205072995291855786348984,9b731512a9848138113cd2c395175fe8196fb41d7758cd8b88cf7e87e1175c00,a0801177c4565d233b5ce9b7fa147b8dc643a5df08c3f4dcf359d488736f6c57
2018,Q0_three_state,83,179,0.46368715083798882681564245810055865921787709497207,2157589396.0,7607155851.0,0.28362629059537063505865064732982292622152299847761,-18.006086024261819175699181077073573299635409649446,-18.334091683893271990735818658680090837302612646317,-17.177620402818009983127964083237734581673714399521,negative,negative,negative,81,171,0.47368421052631578947368421052631578947368421052632,-19.005791993094515441503356319649286325216121204871,7696159728,89003877.0,0.98843528718924737992392145424557643744371101753204,9b731512a9848138113cd2c395175fe8196fb41d7758cd8b88cf7e87e1175c00,a0801177c4565d233b5ce9b7fa147b8dc643a5df08c3f4dcf359d488736f6c57
2018,Q1_midpoint_binary,94,179,0.52513966480446927374301675977653631284916201117318,2454255773.0,7607155851.0,0.32262462095835401861020712246743214516008211595138,-20.251504384611525513280963730910416768907989522180,-20.624610493317654009511656640362662835307120966480,-19.468139212242392001903802064920306579678222719685,negative,negative,negative,92,171,0.53801169590643274853801169590643274853801169590643,-21.538707494807872992780457343900060337792957995505,7696159728,89003877.0,0.98843528718924737992392145424557643744371101753204,9b731512a9848138113cd2c395175fe8196fb41d7758cd8b88cf7e87e1175c00,a0801177c4565d233b5ce9b7fa147b8dc643a5df08c3f4dcf359d488736f6c57
2018,Q2_boundary_autocracy,83,179,0.46368715083798882681564245810055865921787709497207,2157589396.0,7607155851.0,0.28362629059537063505865064732982292622152299847761,-18.006086024261819175699181077073573299635409649446,-18.334091683893271990735818658680090837302612646317,-17.177620402818009983127964083237734581673714399521,negative,negative,negative,81,171,0.47368421052631578947368421052631578947368421052632,-19.005791993094515441503356319649286325216121204871,7696159728,89003877.0,0.98843528718924737992392145424557643744371101753204,9b731512a9848138113cd2c395175fe8196fb41d7758cd8b88cf7e87e1175c00,a0801177c4565d233b5ce9b7fa147b8dc643a5df08c3f4dcf359d488736f6c57
2018,Q3_boundary_democracy,102,179,0.56983240223463687150837988826815642458100558659218,4053301668.0,7607155851.0,0.53282747815232055773481746693347718557212454302851,-3.7004924082316313773562421334679239008881043563670,-4.3166920844825467115968348651524393058283531154090,-3.1602208034072847039889802897100830501994548686130,negative,negative,negative,100,171,0.58479532163742690058479532163742690058479532163743,-5.1967843485106342849977854703949715012670778608920,7696159728,89003877.0,0.98843528718924737992392145424557643744371101753204,9b731512a9848138113cd2c395175fe8196fb41d7758cd8b88cf7e87e1175c00,a0801177c4565d233b5ce9b7fa147b8dc643a5df08c3f4dcf359d488736f6c57
2019,Q0_three_state,83,179,0.46368715083798882681564245810055865921787709497207,2153936080.0,7686389151.0,0.28022730019072384590484547013797168074192916959689,-18.345985064726498091079698796258697847594792537518,-18.673060188495394103656335840347782893691794994417,-17.505882245638694037461139123205159062516482411170,negative,negative,negative,81,171,0.47368421052631578947368421052631578947368421052632,-19.345691033559194356883874038834410873175504092943,7777162476,90773325.0,0.98832822057143299933804803282857376168824687416753,9b731512a9848138113cd2c395175fe8196fb41d7758cd8b88cf7e87e1175c00,a0801177c4565d233b5ce9b7fa147b8dc643a5df08c3f4dcf359d488736f6c57
2019,Q1_midpoint_binary,93,179,0.51955307262569832402234636871508379888268156424581,2478855795.0,7686389151.0,0.32249938772323290608786924272655786069242176468616,-19.705368490246541793447712598852593819025979955965,-20.081782662181890089172435134886206739779597060709,-18.914604719325190022977238417743582908604284477462,negative,negative,negative,91,171,0.53216374269005847953216374269005847953216374269006,-20.966435496682557344429449996350061883974197800390,7777162476,90773325.0,0.98832822057143299933804803282857376168824687416753,9b731512a9848138113cd2c395175fe8196fb41d7758cd8b88cf7e87e1175c00,a0801177c4565d233b5ce9b7fa147b8dc643a5df08c3f4dcf359d488736f6c57
2019,Q2_boundary_autocracy,83,179,0.46368715083798882681564245810055865921787709497207,2153936080.0,7686389151.0,0.28022730019072384590484547013797168074192916959689,-18.345985064726498091079698796258697847594792537518,-18.673060188495394103656335840347782893691794994417,-17.505882245638694037461139123205159062516482411170,negative,negative,negative,81,171,0.47368421052631578947368421052631578947368421052632,-19.345691033559194356883874038834410873175504092943,7777162476,90773325.0,0.98832822057143299933804803282857376168824687416753,9b731512a9848138113cd2c395175fe8196fb41d7758cd8b88cf7e87e1175c00,a0801177c4565d233b5ce9b7fa147b8dc643a5df08c3f4dcf359d488736f6c57
2019,Q3_boundary_democracy,101,179,0.56424581005586592178770949720670391061452513966480,2653805892.0,7686389151.0,0.34526041290203730929990224222515428558217686836970,-21.898539715382861248780725498154962503234827129510,-22.301520053863716021644359171605976735849063631672,-21.134342111007015955449162454463352904673751048425,negative,negative,negative,99,171,0.57894736842105263157894736842105263157894736842105,-23.368695551901532227904512619589834599677050005135,7777162476,90773325.0,0.98832822057143299933804803282857376168824687416753,9b731512a9848138113cd2c395175fe8196fb41d7758cd8b88cf7e87e1175c00,a0801177c4565d233b5ce9b7fa147b8dc643a5df08c3f4dcf359d488736f6c57
