entity_code,entity_name,region,income_group,registry_category,public_collective_noun,midpoint_year,pou_period_start,pou_period_end,obesity_value,obesity_low,obesity_high,pou_source_value,pou_censored,pou_lower,pou_upper,population,obesity_available,pou_available,population_available,comparable_primary,geometry_status,missing_reason,source_release_ids
JAM,Jamaica,Latin America & Caribbean,Upper middle income,world_bank_non_aggregate_country_or_economy,countries_and_areas,2011,2010,2012,25.694862,24.011099,27.336287,7.8,False,7.8,7.8,2760494,True,True,True,True,exact_code_match,none,WHO:2026-05-27T16:07:31.457+02:00|WDI:2026-07-13|snapshot:v002-frozen-20260919
JOR,Jordan,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,world_bank_non_aggregate_country_or_economy,countries_and_areas,2011,2010,2012,35.687414,34.212121,37.157917,9.1,False,9.1,9.1,7480424,True,True,True,True,exact_code_match,none,WHO:2026-05-27T16:07:31.457+02:00|WDI:2026-07-13|snapshot:v002-frozen-20260919
JPN,Japan,East Asia & Pacific,High income,world_bank_non_aggregate_country_or_economy,countries_and_areas,2011,2010,2012,3.7633084,3.5275921,4.0234923,,False,,,127833000,True,False,True,False,exact_code_match,pou_missing,WHO:2026-05-27T16:07:31.457+02:00|WDI:2026-07-13|snapshot:v002-frozen-20260919
KAZ,Kazakhstan,Europe & Central Asia,Upper middle income,world_bank_non_aggregate_country_or_economy,countries_and_areas,2011,2010,2012,16.053893,14.658935,17.515083,3.0,False,3.0,3.0,17066002,True,True,True,True,exact_code_match,none,WHO:2026-05-27T16:07:31.457+02:00|WDI:2026-07-13|snapshot:v002-frozen-20260919
KEN,Kenya,Sub-Saharan Africa,Lower middle income,world_bank_non_aggregate_country_or_economy,countries_and_areas,2011,2010,2012,7.1811661,6.4634487,7.9513997,19.9,False,19.9,19.9,42758461,True,True,True,True,exact_code_match,none,WHO:2026-05-27T16:07:31.457+02:00|WDI:2026-07-13|snapshot:v002-frozen-20260919
KGZ,Kyrgyz Republic,Europe & Central Asia,Lower middle income,world_bank_non_aggregate_country_or_economy,countries_and_areas,2011,2010,2012,13.932283,12.943758,14.939448,7.1,False,7.1,7.1,5546587,True,True,True,True,exact_code_match,none,WHO:2026-05-27T16:07:31.457+02:00|WDI:2026-07-13|snapshot:v002-frozen-20260919
KHM,Cambodia,East Asia & Pacific,Lower middle income,world_bank_non_aggregate_country_or_economy,countries_and_areas,2011,2010,2012,2.1135695,1.8032873,2.4635142,9.2,False,9.2,9.2,14722584,True,True,True,True,exact_code_match,none,WHO:2026-05-27T16:07:31.457+02:00|WDI:2026-07-13|snapshot:v002-frozen-20260919
KIR,Kiribati,East Asia & Pacific,Lower middle income,world_bank_non_aggregate_country_or_economy,countries_and_areas,2011,2010,2012,42.743191,40.111795,45.245788,3.4,False,3.4,3.4,110647,True,True,True,True,off_map_no_exact_code,none,WHO:2026-05-27T16:07:31.457+02:00|WDI:2026-07-13|snapshot:v002-frozen-20260919
KNA,St. Kitts and Nevis,Latin America & Caribbean,High income,world_bank_non_aggregate_country_or_economy,countries_and_areas,2011,2010,2012,38.138008,32.707626,43.534911,,False,,,46886,True,False,True,False,off_map_no_exact_code,pou_missing,WHO:2026-05-27T16:07:31.457+02:00|WDI:2026-07-13|snapshot:v002-frozen-20260919
KOR,"Korea, Rep.",East Asia & Pacific,High income,world_bank_non_aggregate_country_or_economy,countries_and_areas,2011,2010,2012,3.922426,3.7114013,4.1299917,2.5,True,0.0,2.5,49936638,True,True,True,True,exact_code_match,none,WHO:2026-05-27T16:07:31.457+02:00|WDI:2026-07-13|snapshot:v002-frozen-20260919
